Id,predicted
59602c7b-dc93-49cb-8383-d80b7e2fb77c_kir,"Айтуяк башка планета аянты [UNK] билчү белең? Күн системасындагы үч жырткыч планета аябай текшерип жетти. Күн системасындагы сынык көз айнекти болсом көпөлөк абада сыйкырдуу көңүл ачат. Кээде Колизейдин аренасында кийимдер көп планета [UNK] көчөлөрдү аянты [UNK] [UNK] өтө жогорку төрт планета [UNK] тургандыктан, мындай үлгүлөрүн колдонушкан. Кара туңгуюкка учуп чыккан"
5b03c386-3de2-4a0a-9a0b-32b96c8ef5e4_kir,"Мен Африкада жана зым менен кеткен [UNK] тизилип [UNK] да абдан өзүн көздөй чуркап чулп этип кетет, ыя?! [UNK] баары аба жасай аласыңбы?"
5b0eff17-f8a0-4342-a578-4ed824517dc3_kir,Айсанат шарды койду.
5fbb5354-dad1-403f-a679-697b98dceb67_kir,"[UNK] Ой! Баарынан да шуштугуй эле. Бирок ага өсө берди. Аларды тарткан сүйрү нерсени [UNK] салыштырат. Бирок мунун башка чиркей тээп, бир топко салып, ынак эле. Бирок эч ким [UNK] [UNK] менен [UNK] зал [UNK] таптым. [UNK] жети [UNK] койгон. Суу боюнда үйү [UNK] жаштагы кумурскалар баласын гана [UNK] эки"
60953918-8e7b-4870-a8f3-c6ef9d7ba823_kir,"Дина каалгый ойногону менен, кээ бирөөлөр дүйнө жүзүндө күзгүнү түштү."
614e084a-e741-463d-8937-8ba020e34383_kir,"Эртеси каалаган чыккан балдарын талашып баратса, капысынан алдынан чуркап жөнөдү."
6930b95b-6282-4583-8d3b-aa29fc0da2ce_kir,Кыз үйгө [UNK] жакшы көргөн [UNK] – деди мугалим.
6bd3c4dd-685a-4f76-86ad-b7d77c22122e_kir,Дене [UNK] алды. [UNK] эмне чыкса болобу! Мөмөнүн ичинде да түшүнбөй калдым деп чоң атасын башы хан бала экен. Бирок тыкылдак куш жасап алыптыр.
7113c1ea-feeb-4a12-abc8-59b5472acc4b_kir,"Жөргөмүштүн шамдагай болот. Алардын баары ошого карап коюшкан. Ал дагы аялы менен капталган. Чоң эле [UNK] да, ал үн катпай отура берет. Бул деңиз [UNK] бул жерде менен бириктирип эки убагында ашыгат. Аларды эч кимге алтын мүйүздүү канатчан кез-кезде Ушул Күн нурлары бийик кызыл аралыкка да, учуп келишкен. Бул болсо"
7a3206d6-21a1-498f-9fda-1f30142d5ed2_kir,"Күчүк ойлонуп, кыска козу карындар жана резина жыйнашып койчу! Ал булуттарды жылынып жатыптыр."
7aeebdf8-9227-4740-a93a-ff1cc1593c80_kir,Бүгүн муну болду.
7ba4dcf5-7297-450f-8321-76380780fe39_kir,"Күн жылыганда кайра мага бир [UNK] Дарыя сени жалгыз кой. Бул менден кел! Мен бул катты ысытышым керек, – Жапайы достугу да [UNK] мага мага жардам бер. Акырында жакындап туруптур. Айткылачы, экөөбүздүн [UNK] көрсө, айым, мага жүгөрү самын кошуп, [UNK] коё берүүгө башкача учурда жумушуна [UNK] ачуу керек. Анан жакын"
7d5ad38d-6875-43f2-bda0-d72ad67f5704_kir,"Эми Айбек Сары кызды тазаланды. 3-кадам: чокуп дасторконго чакырды. Айбек апасынан шашыла сурады: – деди Адилет атасынан сурап жаткансып, мага ушунча турган пил менен ушунча турган мотоцикл [UNK] тура! болом, – Азаматсың, сен бизди жасалат? Апасы: [UNK] Википедиядан да ушунча [UNK] Айбек сүткө Бүткүл пахтаны Айна [UNK] Айбек кубанычтуу. [UNK]"
8be9c93e-65c9-4ebf-9b18-c0731511ae49_kir,Мен абдан туура бирде жоокер чогултту. Тык-тык... тык-тык!
8fad711e-d34b-4a5f-91d7-1c71be1f0c3a_kir,"[UNK] ага болсо да, жогору узун катыша турган сыйкырдуу катыша турган катты: – [UNK] чыгып керектелүүчү сууда мындай [UNK] чейин чыккан болот."
90b51955-8ed2-48c6-913d-d5d656c9c2a8_kir,– Салам! Менин ойногум келди.
9ff8dc3a-f4c3-410e-8da3-56c73230b584_kir,"Тоок билсеңер керек. Кайра барып, көлчүккө кытырак болушу"
a7892ea7-689b-4565-be0d-ebc8578e9ec6_kir,Айсанат менен сейил жаш бөбөк турбайбы! Пил мектепти уккусу болгусу жата берди. Аңгыча жээкке чыкты. – Пил көз айнегимди сугарып турам.
adcacc3b-dc27-4fec-952d-efcaa4b79578_kir,"Бир аз күтө тур, окуйбуз. Улан менен шамды жарым шарын өзгөчө саткан химиялык жүзгө чейин кычкыл болорун билбейбиз. Кайсы жакта тамакты азыраак кагазды [UNK] кубанычтуу эмес эле. Канаттуулар менен сыймыктанып, көрк жаттым. Бир маалда мен [UNK] тиши менен курула баштаган. Дубалды миллиондогон [UNK] А, бул катты алды. А менин [UNK]"
afe18ccc-496a-4ff8-bb99-596d63ebb762_kir,Суу астынан сүйрөп чыгат. Азык болду чирип кетиптир. Аларды болуптур. Апасы [UNK] түп сыяктуу жашайт. Бул суу акчаны бөлүп чыгарат. Ар бир кофе адамдарга ырылдап турду. Апасы ар кандай болду экен болду бекен?!
b65ac354-fdc4-49c6-a519-c510ae0f262e_kir,"Ларанын канаттарын [UNK] апасы жылмайып тосуп алды. Кумайык салам! Мен түндө коркпой калды. Мен мугалимден сурашты.    Атам менен талааларды, калем көргөндө таң калды [UNK] [UNK] коркуп кетти. [UNK] куткарып чыкты. Мышык менен мектепке [UNK] [UNK] жумуртка бышырып бериңизчи! – деп чечтик. Көп тарапка Мышыкты столдун астынан издеди. Мышык менен"
ba4fbb05-1676-41f2-9e03-f37ab10f2eb6_kir,Уясында жашайт болду экен?
bc784fc1-8cde-4622-8717-1827a2fe2852_kir,"Мышык менен Мышык менен Күчүк сүйрү күзгүнү алып, [UNK] Ит этти болчу. Мындай адамдын [UNK] жашын төгүшөт. Алардын баары [UNK] кетет экен."
bdba0468-eae0-41b7-b120-25d1c3ed75b7_kir,Кечки тамак отурду.
c03d20e3-70a4-4bd0-a5a8-74ce44fed2bf_kir,"Бирок мен мага жүрүүчү жиптерин көрүп: – [UNK] мынчалык [UNK] аңчылык кылууга жардам беришет. Анан эң жакшы көрчү. Ошондуктан ага шыбын тешип чыгарын ойлоп, эми түрүн көрүп, эмнеге мынчалык жакшы көрчү. Бирок анын да пайда болду. Бою сезгич китептер тажрыйба дагы силердин — деди чоң атасы арналган. [UNK] [UNK] [UNK]"
c373e1e9-d540-4f27-9c51-3857869845b1_kir,"Мен Анда Адилет канаттарын каккылап, учууга туура басып турам."
c690c9e7-4b6f-4d50-9692-1c9ec93a434e_kir,Айгерим таң калып жатасыңбы? Мунун асты менен Википедиядан да байкабай калдым.
cc66f680-0da8-46af-b89d-ebfdb1a04022_kir,– [UNK] Башка түш айланган экен. [UNK]
ccf36b42-542d-4f61-8d36-78358a1031eb_kir,"Урматтуу Айбек “Маш ботойду” көз – Мен бул кайда [UNK] – [UNK] такыр – Мен мырза, мага сен менен сизге беш беш бакта жашырып жатса, Чолпон бизди Апасын да кубанып. Гүлдөр менен Мышык жаныбарлары – Сиз эмне, ыя? – Жаңы көз – Балдар, менин [UNK] – Эми [UNK] [UNK] тамашалады."
ce1c599d-8fa4-4fcc-b62f-e816095eb757_kir,Үйгө баратышты.
d1ae3aad-3350-418a-bd45-3c0c83d6433a_kir,–  деп апасы менен калышат.
d880c8b0-c938-4b7e-9a5b-49e706be501c_kir,"Суу кайнап турган сымал зым менен [UNK] Бул жеринен пастаны кайнатышты. [UNK] өзү эле [UNK] менен Википедиядан абдан жакшы таң калдым. Баары шар сыяктуу жандыктар, энесин көңүлү чөгөт. Кыялында уяны салды. Ал эми чоңоюп калды. Болот менен чогулуп алсаңар болот. Кээде эртең мененки арканды чечти."
de925d5a-0981-47b9-91ae-8e94c5759ae0_kir,"Чогуу [UNK] – 12, – Анан өтүшүп, жаныбарлары [UNK] Биз керек бирде жомок кыска – Мен Айдай такыр тарткан [UNK] – Кашка [UNK] Биз Айбек туура [UNK] эсептеп жатышат. – Ооба, такыр Айгерим – Жетинчиси – Кана, Айдай деген эмнеде?"
e438d426-edd2-4a9a-896f-d6849c592c06_kir,"А мен кумурсканын ийнине кирип кетсе, апасы менен Ай жок болуп калган жок. Мындай аркан ал барып кетип калат, ‒ деп сурап бер, трактор менен уйлар менен апасы жылмайып."
f2eb9a86-590d-4557-a3a8-439b717f7f81_kir,куштун [UNK] аркы нерселердин Тез керектелүүчү [UNK]
f31d3a33-8692-44cf-8431-1ef2f98a0c7a_kir,"–  [UNK] сен кичинекей боз, адамдар ат кирет. [UNK] 8 [UNK] кармады. го? [UNK] [UNK] жана жерде жашачу. Пачакутектин үч күкүм рекордун он күн менен эле сыяктуу эле [UNK] [UNK] батып [UNK] жатышат, – бул күндүн нуру жетпей турчу. Балдар экөөбүз жаныбар экен ээ! Жер жүзүндө дүйнөнүн өсүмдүктөрдүн [UNK] көбү"
f68526f4-1288-4200-bbe5-f41a62e872b7_kir,"‒ космонавттар толук көрөт, бирок кичинекей Айнаш ага абдан жакты. Кандай гана көпүрөнү карап жүргөнү жашаган буттары ээлегенге [UNK] сенин эки дарак. Ал аябай көп күрүч өмүрүнүн болушту. Бир маалда кумга [UNK] көтөрүп баратты. – деп Арслан папканы көтөрүп эле толтурулган [UNK] Бул желекти муз болуп жатат. – [UNK] бул"
f82fbccd-de85-4a23-8297-371fab8f2c43_kir,"Сабактан кийин китептерден тишин чоң энемди ээрчиген жагат. [UNK] тез самын кошуп, тазалап чыкты. Сага ызылдаган үч пешка байкай дарыяны [UNK] кызым! Сенин күнүң кут радиодон [UNK] [UNK] [UNK] берди. Экөө чейин табышмак адамдын эң чоңу же Айтуякты жетелеп элементтери бар. Жылан токтоно албай Юля менен Марина эжейинин [UNK] Ит"
3654007b-4ecb-4847-b09d-6eab54e0b28e_kir,"[UNK] [UNK] күндүн дүйнөнүн душмандары алып жалбырактар [UNK] деп чечтик. Көп кабаттуу үйдүн газын жутуп, суудан жалбырактар ачык медициналык жардам берет. [UNK] ЮНЕСКОнун тезирээк оюнду күндө жылмайып. билишет. Пилдер ойногондо жана испанча сөздөрдү бири. Аларды жамгыр жакшы укпайт. Ал кит – деп ал [UNK] көзү улам чоңоюп, тиштерин [UNK] деп"
a6e9670c-ea80-4f22-9c42-4ae8fbc33daa_kir,"Байыркы римдиктер майдын Тектоникалык плиталар өтө кымбатка тургандыктан, мындай экенин катышат. [UNK] май азыркы Бишкек - [UNK] Булардан индиялык окумуштуулар мелдеште мындай [UNK] Жер титирөөнүн эң көп адамдар чечишкен."
55a6cd5a-694c-4d22-bb35-d0041a02d0a1_kir,Окумуштуулар бул кызыктуу болгон. Дүйнөдө эң белгилүү түрлөрү.
4407c857-711b-4637-aeaf-253a7bcb1c2e_kir,"Ысык жана Бони экен. Бул сан пайда болот. Кээде сел алып өсө турган болду. Дал жашаган жер катуу даамдуу тартылды. – [UNK] көп болуп, [UNK] – деп Колизейди бир он метр берекелүү [UNK] менен ойногонду жакшы эле болду. Ошол күнү таңда бири-бирин жок окшойт, ﻿– деп Күн ысыкта бар. Жайкысын"
69698865-cbc8-45c0-b6df-90e2b3337c8a_kir,"Аары болсо түрдүү иш болот эле. Салтанат аябай чоң чырактарды көргөн жокмун. Бирок адамдар бизди жашоого окшош экен. Мисалы, жамгыр окугум келип аябай мыкты [UNK] түлкү тамчы жаратылышта сүйүнүп, жумуштан калды."
d53dd565-3710-47eb-b63d-a94610719d69_kir,Бака [UNK] бара жатышыптыр. Адыл өткөрүшөт.
1a6cd22d-3717-463c-899c-e9996b7d234b_kir,Антилопа унаалардын артынан жардам беришет. [UNK] жактырчу эмес. Ошондуктан алар кичинекей уюгу – эки ирет сүйрүсүнөн келген бир ай жашашат.
afc213a2-f26d-4023-8c1a-a9812e036a97_kir,"Көлгө соодасын өлкөнүн [UNK] [UNK] түрү белгилүү. [UNK] [UNK] да бар. Бул жерден жашайт. Бул жерде соодасын кээде [UNK] эң чоң дарактар чейин көмүр кычкыл газын жасап, тура! Кар кайчы менен чүмкөп, абаны ичинде чатырлары [UNK] токойдо жашайт. [UNK] жеринде эң күчтүү күрөң бөлөнүп, күчтүү [UNK] аңчылык кылат. Жолборстор Амазония"
06d4f633-edcd-46b5-bd83-f6d349cb5445_kir,"Кумкват Келгиле, чогуу [UNK] күнгө чагылышып, [UNK] жылдыздардын салмагын сүзүп келишкен. Көбүнчө жер түшөт да, оюнан арасында балдарды бир жолу деп [UNK] өзүнө [UNK] [UNK] сүрөткө тартып кой! Бирок бир 9 жаныбар. Эки жолу бири-бирин даяр болдук."
d8f01179-768f-4272-8309-b1bbf34188be_kir,"[UNK] эң көп чоюлуп, [UNK] болот? Жерде тура бер. Боз үйдүн сүт менен түшүрүлгөн."
e0331a04-0515-45db-8295-b8d4055f14c2_kir,Болгон окуяны бул окуялар сүйрөп жүрүшөт. Хира кокон [UNK] келип жатат.
20b040af-6cc2-4f62-b6ef-52f05e7559a8_kir,"Байыркы Сары-Челек [UNK] [UNK] деп аталат. Ошондуктан бул эми чоңоюп кетсе, бул жерде дем алыш керек. Биз [UNK] ушинтип баратат."
40139a28-b764-4c8d-b26f-17b343c46760_kir,"Жарыштын боюндагы чоң энемди өсүп, чоңоюп турду. Анын даамы кандай болот?"
