Id,predicted
c0048b4c-fc66-4cb0-a5b3-5ee75c34ba1f_tha,ขณะที่เพื่อนที่มีนั้นนั้นจะได้เปลี่ยนชื่อนั้นได้มีความใฝ่เอามาที่มีนั้นนั้นจะแพงเมืองที่มีความใฝ่แพงข้างรั้วที่ได้นำไปนั้นมีนายดินที่ได้นำน้ำนั้นมีนายมือที่มีความ
c1911da2-fafc-4ad3-847b-da9154416269_tha,"ทุกเช้าเวลาผ่านไปด้วยความผิดที่ตนเอง""  ถิ่นฐานบ้าน และเอาไม้ประหลาดใจ พ่อจะเอาทองคำไปในหมู่บ้านด้วย พาน้องวู้ดดี้เงียบไปทางไปบ้าน และเอาไม้ไผ่เป็นคนรู้เรื่องนี้"" "
c50c7791-3ea4-4d53-9c8a-eec9d56020e1_tha,ลำบากแล้วก็เดินไปเพื่อถวายในหลวง”
cc2b7bbe-0cc2-409c-9481-3ddcba38c841_tha,น้ำท่วมทะเลกับฉันจะได้กิน จึงแอบกินแล้ว กินแล้ว กินอาหารไม่ได้กินไม่ได้กินไม่ได้   ทำให้ทุกตัวนั้นเกิดเช่นกัน
ced781f5-9303-401b-b2ec-cd772e3f30be_tha,ไปแหวกฝูงชน ﻿แต่มาอยู่ในแนว ของแจกหมดก่อน แนวพ่อหลวง และอยู่ในแนว ของแจกหมดก่อน
d002c0f2-e953-421b-be6b-437578b61fd7_tha,เศรษฐีร่ำรวย มากด้วยเงินตรา ﻿ตระหนี่หนักหนา ไม่ทำบุญทาน
d9b53da4-a571-4302-b761-5bbdfc29f272_tha,ทุกพระองค์ รวมทั้งส่งกลิ่นหอมเเค้นที่นำมาให้คนได้ฟัง
d9d28ab2-22d0-4bc4-afac-0608aba7ee0d_tha,ระหว่างที่อุดมสมบูรณ์อยู่กับลิง
dc060a5b-f8db-4397-aa90-fb87c4855308_tha,"ณ ลำธาร แต่ยายและยาย"" แต่เด็กๆยายออกไปพบแต่เด็ก อาศัยอยู่ใกล้ๆ แต่ยายและยายอยู่ในหมู่บ้านบ้าง"" ซึ่งเป็นเด็กฉลาด เด็กเด็กฉลาด แต่ยายเคลื่อนมา"
dc9b1db6-f169-43d0-8ae1-2c9b231736ec_tha,ตั้งใจทำงาน ทำทานไม่เที่ยว ทำบุญอย่างเดียว ไม่เกี่ยวกับใคร
e16b1ae1-db48-4c27-97b1-294055d82fa3_tha,"เด็กทั้งสองจึงเอาในขณะนั้นเองล่ะ"" ""เอาปลาจึงตั้งชื่อถนนเส้นๆ เพื่อจะเอาแครอทที่เก็บไว้"
e31c9137-2851-4213-ba0d-056c08e169ee_tha,เด็กดีต้องเป็นเด็กชายน้อยต้องจัดเองจนถึงปัจจุบัน
1c1fa153-f419-4a3d-b90f-1e3e8f230fb7_tha,มีผักวันนั้นนายบุญสูง สวยเขา
1668d723-62ed-4ce0-94c7-e34d16b53a68_tha,"แม่มด ตอนนี้"" ทำไม"" "" : ๑.นาง งูใหญ่จังเลย ทำไมหรอครับ .. ทำไม"" นาง งูใหญ่ลอยน้ำมาวันหนึ่ง พระ"" ทำไม"" โบตั๋น งู"
d330e247-72f4-4767-9dde-7b820f1b38df_tha,ทันใดนั้นเอง”
9ecae442-e7c8-462b-b720-0ef6da539bf8_tha,ณ ส่วนจ้อยร่อยถามคุณตาและสร้างปากด้าน
8d2e6ebf-97fd-45f3-9665-1cc3431c93ad_tha,วันหนึ่งเขาได้สอนสอนสอนสอนพ่อแม่สอนพ่อแม่ ควรเอามือโพหัวเราะจ้ะ ไม่มีพ่อแม่และพ่อแม่และพ่อแม่และนายจ่อยและเพื่อนๆ เพื่อนๆ พี่ๆ เพื่อนๆในสิ่งที่พ่อแม่และพ่อแม่และ
07e702e9-e80c-4e34-aeed-d5585d2c26e9_tha,แก่นเรื่อง มีประโยชน์คือ ทุกคนกำลังเผาถิ่นต่างๆกัน ! เป็นสิ่งที่เกิด  เป็นผู้เป็นคนจึงพากัน  เป็นสิ่งที่เกิดจากอดีต
70af4733-e5f4-4df3-be6a-a1a79a6785eb_tha,คุณธรรมเพื่อมาและเวลาไปขาย
9ee1bc72-e95a-4c15-a03c-5b88b4c45f72_tha,หลายวันเสาร์แสนสุขตาสมสรวากลับมาจากหลายปี ก็จะสุขสรรสร้างอา เพื่อสมัครมากมายทับถมที่นอน  เปิดดูความจริง  เปิดพุ่มไม้ข้างนอกบ้าน
c3cd744b-ad22-47e8-b5ac-60beaedf40e7_tha,เวลาปลาและทุกคนรอคุณครู
2d0fac53-c205-4389-a3b6-e0661e84bf01_tha,แต่เพื่อนๆ
9e818261-77a4-4238-919c-062e568e2955_tha,ฉันมีอยู่ด้าน
